international,age,semesters_completed,commute_distance_km,financial_need_score,housing_urgency_rating,grades,should_recieve_housing,HO,A1,A2,A3,A4
domestic,26,2,31.1,62.93,5.8,4.34,1,1,0,1,0,0
domestic,27,5,13.2,66.45,5.9,4.83,1,1,0,1,1,0
domestic,25,5,9.8,50.23,5.2,,1,0,0,0,0,0
domestic,21,2,20.2,56.99,5.7,2.06,1,1,0,0,1,0
domestic,34,7,51.9,32.31,4.6,4.24,0,0,0,0,0,0
domestic,32,10,31.0,30.48,4.6,4.94,0,0,0,0,0,0
domestic,23,6,24.8,58.45,4.5,3.84,0,0,0,0,0,0
domestic,32,9,27.5,80.64,4.4,4.36,0,0,1,1,0,0
international,38,12,65.8,44.96,5.3,83.3,0,0,0,0,0,0
domestic,25,4,17.6,75.1,5.1,4.18,1,1,1,1,1,1
domestic,21,1,1.1,41.64,6.0,4.79,0,1,0,0,0,0
domestic,26,3,15.2,25.53,3.0,5.81,0,0,0,0,0,0
international,23,7,44.1,66.05,4.9,71.2,0,0,1,1,0,0
international,24,9,18.4,64.14,5.5,92.3,0,0,0,1,0,0
domestic,21,2,13.2,49.05,6.3,4.15,0,1,0,0,1,0
domestic,20,0,3.4,70.1,8.5,4.8,1,1,1,1,1,1
domestic,26,3,5.1,24.05,3.2,4.9,0,0,0,0,0,0
international,24,8,28.6,61.06,5.9,5.7,1,1,0,1,0,0
domestic,31,5,2.6,59.09,3.0,3.15,0,0,0,0,0,0
domestic,33,6,34.8,66.54,6.1,,1,0,0,1,0,0
international,23,3,41.6,74.47,8.4,61.8,1,1,1,1,1,1
domestic,33,8,11.1,21.12,1.5,4.91,0,0,0,0,0,0
international,20,2,52.2,77.23,9.1,50.8,1,1,1,1,1,1
domestic,19,2,0.8,62.42,5.1,4.47,0,1,0,0,1,1
domestic,33,11,25.1,44.64,3.9,4.78,0,0,0,0,0,0
domestic,24,4,3.6,67.09,2.9,3.67,0,0,0,0,0,0
domestic,19,2,16.6,71.62,9.3,,1,1,1,1,1,1
international,22,8,11.9,75.66,6.2,B,1,1,1,1,0,1
domestic,32,9,24.2,35.51,5.6,4.37,0,0,0,0,0,0
domestic,20,4,5.0,59.2,7.6,4.03,0,1,0,1,1,1
international,28,9,19.6,71.86,6.5,4.6,0,1,1,1,1,0
international,24,0,27.8,64.83,6.3,64.3,1,1,0,1,1,1
international,26,6,7.2,35.91,4.0,A,0,0,0,0,0,0
domestic,26,6,24.8,56.88,5.4,4.86,1,0,0,0,0,0
domestic,30,6,35.3,65.05,5.7,5.33,1,0,0,1,0,0
domestic,27,8,5.6,54.45,4.0,3.7,0,0,0,0,0,0
domestic,23,1,2.7,31.88,3.1,2.1,0,0,0,0,0,0
domestic,23,5,10.2,43.46,3.4,4.69,0,0,0,0,0,0
domestic,24,4,31.6,75.46,8.3,4.39,1,1,1,1,1,1
international,21,4,44.3,76.64,9.0,A,1,1,1,1,1,1
international,30,9,26.6,46.94,5.0,A,0,0,0,0,0,0
domestic,21,2,17.0,75.42,6.3,3.18,1,1,1,1,1,1
domestic,25,6,4.9,69.76,7.8,2.85,1,1,1,1,1,1
international,20,3,3.0,36.25,4.9,64.1,0,0,0,0,0,0
domestic,22,1,3.6,64.41,5.5,5.09,1,1,0,1,1,1
international,33,7,36.9,52.15,4.0,8.2,0,0,0,0,0,0
